Unnamed: 0,essay_num,op_index,time,op_loc,op_type,current_editor,add,delete,selected_text,cursor_location,recording_obj,Unnamed: 12,Unnamed: 13,Unnamed: 14
8156,23,0,20.73,editor,i,['T'],T',,,"[0, 0]","{'t': 20730, 'o': [{'o': 'i', 'i': [0, 0], 'a': 'T'}]}",,,
8157,23,1,24.956,editor,i,['There is perspective on the issue of in'],here is perspective on the issue of in',,,"[0, 1]","{'t': [20846, 24956], 'l': 38, 'o': [{'o': 'i', 'i': [0, 1], 'a': 'here is perspective on the issue of in'}]}",,,
8158,23,2,25.505,editor,d,['There is perspective on the issue of '],,in',,"[[0, 37], [0, 39]]","{'t': [25383, 25505], 'l': 2, 'o': [{'o': 'd', 'i': [[0, 37], [0, 39]], 'd': [[1, 2]]}]}",,,
8159,23,3,27.483,editor,i,['There is perspective on the issue of the use of ingelli'],the use of ingelli',,,"[0, 37]","{'t': [25785, 27483], 'l': 18, 'o': [{'o': 'i', 'i': [0, 37], 'a': 'the use of ingelli'}]}",,,
8160,23,4,28.203,editor,d,['There is perspective on the issue of the use of in'],,gelli',,"[[0, 50], [0, 55]]","{'t': [27698, 28203], 'l': 5, 'o': [{'o': 'd', 'i': [[0, 50], [0, 55]], 'd': [[1, 5]]}]}",,,
8161,23,5,31.932,editor,i,['There is perspective on the issue of the use of intelligent machines---but are they are'],telligent machines---but are they are',,,"[0, 50]","{'t': [28312, 31932], 'l': 37, 'o': [{'o': 'i', 'i': [0, 50], 'a': 'telligent machines---but are they are'}]}",,,
8162,23,6,32.769,editor,d,['There is perspective on the issue of the use of intelligent machines---but are they '],,are',,"[[0, 84], [0, 87]]","{'t': [32455, 32769], 'l': 3, 'o': [{'o': 'd', 'i': [[0, 84], [0, 87]], 'd': [[1, 3]]}]}",,,
8163,23,7,37.104,editor,i,['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? Wekno'],really all that intelligent? Wekno',,,"[0, 84]","{'t': [32992, 37104], 'l': 34, 'o': [{'o': 'i', 'i': [0, 84], 'a': 'really all that intelligent? Wekno'}]}",,,
8164,23,8,37.597,editor,d,['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We'],,kno',,"[[0, 115], [0, 118]]","{'t': [37370, 37597], 'l': 3, 'o': [{'o': 'd', 'i': [[0, 115], [0, 118]], 'd': [[1, 3]]}]}",,,
8165,23,9,38.695,editor,i,['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know tht '],know tht ',,,"[0, 115]","{'t': [37687, 38695], 'l': 10, 'o': [{'o': 'i', 'i': [0, 115], 'a': ' know tht '}]}",,,
8166,23,10,39.004,editor,d,['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know th'],,t ',,"[[0, 123], [0, 125]]","{'t': [38887, 39004], 'l': 2, 'o': [{'o': 'd', 'i': [[0, 123], [0, 125]], 'd': [[1, 2]]}]}",,,
8167,23,11,39.979,editor,i,['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that Chat '],at Chat ',,,"[0, 123]","{'t': [39093, 39979], 'l': 8, 'o': [{'o': 'i', 'i': [0, 123], 'a': 'at Chat '}]}",,,
8168,23,12,40.378,editor,d,['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that Chat'],,,,"[[0, 130], [0, 131]]","{'t': 40378, 'o': [{'o': 'd', 'i': [[0, 130], [0, 131]]}]}",,,
8169,23,13,43.679,editor,i,['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools t'],GPT and similar tools t',,,"[0, 130]","{'t': [40551, 43679], 'l': 23, 'o': [{'o': 'i', 'i': [0, 130], 'a': 'GPT and similar tools t'}]}",,,
8170,23,14,44.092,editor,d,['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools '],,t',,"[[0, 152], [0, 153]]","{'t': 44092, 'o': [{'o': 'd', 'i': [[0, 152], [0, 153]]}]}",,,
8171,23,15,53.94,editor,i,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate su']","operate on pre-existing data and generate text as a result, and this may automate su'",,,"[0, 152]","{'t': [44312, 53940], 'l': 84, 'o': [{'o': 'i', 'i': [0, 152], 'a': 'operate on pre-existing data and generate text as a result, and this may automate su'}]}",,,
8172,23,16,54.248,editor,d,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate s']",,u',,"[[0, 235], [0, 236]]","{'t': 54248, 'o': [{'o': 'd', 'i': [[0, 235], [0, 236]]}]}",,,
8173,23,17,60.57,editor,i,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the us']",ome processes and expedite tasks---on the us',,,"[0, 235]","{'t': [55056, 60570], 'l': 44, 'o': [{'o': 'i', 'i': [0, 235], 'a': 'ome processes and expedite tasks---on the us'}]}",,,
8174,23,18,60.899,editor,d,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the ']",,us',,"[[0, 277], [0, 279]]","{'t': [60779, 60899], 'l': 2, 'o': [{'o': 'd', 'i': [[0, 277], [0, 279]], 'd': [[1, 2]]}]}",,,
8175,23,19,61.775,editor,i,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the surface. ']",surface. ',,,"[0, 277]","{'t': [60988, 61775], 'l': 9, 'o': [{'o': 'i', 'i': [0, 277], 'a': 'surface. '}]}",,,
8176,23,20,65.896,editor,i,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the surface. D']",D',,,"[0, 286]","{'t': 65896, 'o': [{'o': 'i', 'i': [0, 286], 'a': 'D'}]}",,,
8177,23,21,68.362,editor,i,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the surface. Dig deeper though,']","ig deeper though,'",,,"[0, 287]","{'t': [65994, 68362], 'l': 17, 'o': [{'o': 'i', 'i': [0, 287], 'a': 'ig deeper though,'}]}",,,
8178,23,22,69.554,editor,d,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the surface. Dig deeper']",,"though,'",,"[[0, 296], [0, 304]]","{'t': [68640, 69554], 'l': 8, 'o': [{'o': 'd', 'i': [[0, 296], [0, 304]], 'd': [[1, 8]]}]}",,,
8179,23,23,70.19,editor,i,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the surface. Dig deeper,to']",",to'",,,"[0, 296]","{'t': [69802, 70190], 'l': 3, 'o': [{'o': 'i', 'i': [0, 296], 'a': ',to'}]}",,,
8180,23,24,70.531,editor,d,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the surface. Dig deeper,']",,to',,"[[0, 297], [0, 299]]","{'t': [70403, 70531], 'l': 2, 'o': [{'o': 'd', 'i': [[0, 297], [0, 299]], 'd': [[1, 2]]}]}",,,
8181,23,25,74.036,editor,i,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the surface. Dig deeper, though, and you might find a diff']","though, and you might find a diff'",,,"[0, 297]","{'t': [70662, 74036], 'l': 34, 'o': [{'o': 'i', 'i': [0, 297], 'a': ' though, and you might find a diff'}]}",,,
8182,23,26,75.253,editor,d,"['There is perspective on the issue of the use of intelligent machines---but are they really all that intelligent? We know that ChatGPT and similar tools operate on pre-existing data and generate text as a result, and this may automate some processes and expedite tasks---on the surface. Dig deeper, though, and you might find ']",,a diff',,"[[0, 325], [0, 331]]","{'t': [74564, 75253], 'l': 6, 'o': [{'o': 'd', 'i': [[0, 325], [0, 331]], 'd': [[1, 6]]}]}",,,
